Network built: 131 buses, 191 lines, 16 trafos, 103 loads, 22 gens, 2 ext_grid(s)

Running AC power flow (pp.runpp) ...

=== Bus results (res_bus) ===
        vm_pu  va_degree         p_mw      q_mvar                   name  vn_kv
2    6.254112e+01  8.000339e+00  ...        27.822023                   100-104
180 -5.929298e+01  1.465222e+01  ...        27.618548                   101-102
112  5.848397e+01  1.263902e+01  ...        27.347080                     69-77
28   4.780771e+01 -3.603701e+01  ...        27.303280                      5-11
18  -5.785152e+01  1.259821e+01  ...        27.276181                       3-5
46   1.717534e+01  5.899385e+01  ...        27.181035                     54-56
147 -5.908860e+01  1.392226e+01  ...        26.914732                     59-61
20  -4.023913e+01 -3.902866e+01  ...        26.825152                     17-31
76   5.138682e+01  5.916003e+00  ...        25.594458                     37-40
52   5.527483e+01  9.279614e+00  ...        25.484999                     77-78
23  -2.655145e+01  4.469493e+01  ...        25.180238                     14-15
40   5.277490e+01 -6.551596e+00  ...        24.919382                    32-113
74  -5.451146e+01  4.520907e+00  ...        24.660090                     84-85
91   5.375702e+01  2.895035e+00  ...        24.603825                   104-105
80   4.798267e+01  1.920896e+01  ...        24.550705                    75-118
79   5.200530e+01 -1.607957e+01  ...        24.321246                    92-100
21  -9.406925e+00 -5.367445e+01  ...        24.303121                      7-12
172  5.470375e+01 -8.346071e+00  ...        24.203558                     49-50
182  1.114519e+01 -5.207686e+01  ...        24.011086                       6-7
68  -5.191464e+01 -5.237809e+00  ...        23.986920                     45-49
98   5.447884e+01 -2.814439e+00  ...        23.860089                     66-67
179  5.140082e+01  1.043956e+01  ...        23.760943                     94-95
60  -3.291417e+01 -4.044800e+01  ...        23.727348                   110-111
124  1.848678e+01 -4.956497e+01  ...        23.479628                     29-31
81   3.803265e+01 -3.288381e+01  ...        22.917251                      4-11
96  -4.959305e+01  1.306027e+01  ...        22.843744                     59-60
184 -4.078183e+01  1.791121e+01  ...        22.513632                     19-20
107  4.371881e+01 -1.640197e+01  ...        21.943737                     27-32
160  4.669240e+01  1.409311e+01  ...        21.842488                   103-105
25  -4.401255e+01 -1.091308e+01  ...        21.633568                     74-75
95  -4.412724e+01  8.744631e+00  ...        21.586170                    17-113
22  -4.180566e+01 -2.379413e+01  ...        21.529636                      2-12
144 -1.102402e+01  4.527679e+01  ...        21.141278                     12-14
187 -4.118786e+01 -2.064141e+01  ...        20.872724                     77-80
122 -3.847436e+01 -2.349803e+01  ...        20.724956                     45-46
50  -3.511392e+01  2.515824e+01  ...        19.723774                   100-101
30  -4.143731e+01  1.001924e+01  ...        19.713435                     83-84
17  -8.929223e-13  4.734848e-13  ...        19.285448            TieLine_EH-SD3
136 -2.648314e+01  2.581074e+01  ...        18.896702                     13-15
88  -4.142739e+01  4.415869e+00  ...        18.686100                     55-59
173 -3.589950e+01 -1.038660e+01  ...        18.600786                     35-37
157  3.886437e+01 -4.046168e+00  ...        18.362812                    27-115
78   4.041783e+01 -1.129916e+01  ...        18.356027                     49-54
49   3.818728e-02 -1.319605e+02  ...        18.238280            TieLine_EH-SD2
75   1.041582e+01  3.728820e+01  ...        18.129392                     11-13
94   3.931407e+01 -1.280791e+01  ...        18.084961                     49-54
103 -1.500097e+01  3.251210e+01  ...        17.848016                     15-19
69  -3.623519e+01  1.465912e+01  ...        17.627031                     46-47
58  -3.748231e+01  7.041422e+00  ...        17.241226                     54-59
121  3.455574e+01  1.512694e+01  ...        17.234823                   103-104
14  -3.768389e+01  4.106254e+00  ...        17.042684                     62-66
159  3.299810e+01  8.868845e+00  ...        16.957767                     34-36
125 -2.752695e+01  1.733879e+01  ...        16.780894                     77-82
145 -3.312162e+01 -1.293356e+01  ...        16.696763                     44-45
0    3.226244e+01  7.212462e-01  ...        16.561083                     39-40
38   3.562390e+01 -1.177883e+01  ...        16.545011                     50-57
111 -3.716334e+01  1.741720e+00  ...        16.395026                     48-49
135 -3.425331e+01  8.032999e+00  ...        16.076835                     56-59
119 -3.471895e+01 -1.621542e+00  ...        15.962091                       1-3
42  -3.275329e+01  7.166585e+00  ...        15.369376                     56-59
35  -3.115838e+01 -9.419089e+00  ...        15.350041                     75-77
7    2.948466e+01  7.855413e+00  ...        14.558509                     70-74
181  2.834605e+01 -1.380862e+01  ...        14.498837                   105-108
83   3.080441e+01  1.080647e+01  ...        14.423364                     61-62
178  2.802701e+01 -9.557224e+00  ...        13.841894                     24-72
170  2.868714e+01  3.161715e+00  ...        13.567872                   105-107
48   2.991414e+01 -4.872815e+00  ...        13.525070                     51-52
70   2.960928e+01 -3.538460e+00  ...        13.456462                     94-96
34   2.591675e+01 -1.364166e+01  ...        13.437478                   108-109
8   -1.894384e+01 -2.129690e+01  ...        13.017251                      3-12
51  -2.939607e+01  9.041986e-01  ...        12.966937                    99-100
